Indcd,Indnme,样本数,M_Score均值,M_Score中位数,M_Score标准差,综合评分均值,综合评分中位数,M_Score超阈值比,极高风险数,高风险数,中等风险数,关注数,重述率,平均营业收入_亿,平均总资产_亿,风险指数
C35,专用设备制造业,2421,-2.0203561834414594,-2.211348383102519,1.280594871368357,12.675318036905258,10.0,24.53531598513011,0,8,73,351,17.348203221809168,32.0063869334765,66.20643161595832,10.09364616374158
C31,黑色金属冶炼及压延加工业,429,-2.061128899650077,-2.4594465067261915,2.1568883511157955,11.83064040326144,10.0,20.04662004662005,1,0,15,46,25.407925407925408,452.68942303282364,515.8437843078736,9.924681496113049
N78,公共设施管理业,223,-1.9765316605504069,-2.41733811691354,1.9192676308447718,12.478244661680069,10.0,24.2152466367713,0,0,9,27,17.040358744394617,17.53564333892601,62.589682986627814,9.851823414344782
B11,开采辅助活动,152,-2.2145111304060343,-2.4112566536810376,1.687356477708045,13.860141520182095,10.274690766367765,19.736842105263158,0,1,7,19,23.026315789473685,104.65793154652565,173.95644298995262,9.607018774853087
C26,化学原料及化学制品制造业,2749,-2.0204737183634918,-2.285877391304147,1.6728284886918714,11.381125331511244,10.0,22.626409603492178,0,8,73,293,18.006547835576573,45.76010057214653,68.90538053273345,9.60466234406723
C39,计算机、通信和其他电子设备制造业,3875,-2.0874507936370366,-2.234544081354644,1.3693773180050612,11.69632774366634,10.0,22.116129032258065,0,9,95,472,18.81290322580645,58.67097123523608,89.00834801428728,9.555692432262392
R87,文化艺术业,59,-2.390959851233119,-2.2825301036991057,1.0918994651271503,14.879670055093827,10.0,20.33898305084746,0,1,1,10,18.64406779661017,19.79370999034915,50.574294883096606,9.443978836154685
I63,电信、广播电视和卫星传输服务,185,-2.1471579760364468,-2.390290918415609,1.4445468817776594,11.056651694555853,9.538054749447966,18.37837837837838,0,0,7,20,25.945945945945947,297.6619722387827,628.9770400735827,9.433047034641795
C38,电气机械及器材制造业,2582,-2.1486473377050133,-2.2524379045056246,1.0734759105983922,11.397603318327361,10.0,22.075910147172735,1,7,56,320,17.389620449264136,68.24459575377227,94.6671922092454,9.352661320456935
C13,农副食品加工业,571,-2.109328237259446,-2.334486186044236,1.5669270573851841,13.087977225001298,10.0,20.31523642732049,0,1,31,65,20.665499124343256,95.9303183339254,79.24671993151365,9.279655144463554
C24,文教、工美、体育和娱乐用品制造业,156,-2.1910693153843797,-2.3038541242093356,1.304296127571224,11.67508066811427,10.0,21.153846153846153,0,2,0,20,16.666666666666664,17.899881275394232,25.26863997264807,9.259956932439515
E47,房屋建筑业,31,-2.0781915294464137,-2.298721110202941,0.634653311252121,15.667700881342924,11.794055467739351,25.806451612903224,0,0,2,3,9.67741935483871,453.2819173283032,526.7525588851936,9.23271763930013
C40,仪器仪表制造业,589,-2.0322603963670733,-2.180900860653276,1.1566168812727329,10.48468954149252,8.397719287261964,22.410865874363328,0,2,8,62,15.789473684210526,8.67716574176944,21.057942180699662,9.219760110950505
C37,铁路、船舶、航空航天和其它运输设备制造业,616,-2.1120645294114495,-2.3152035342639925,1.2781514664730167,12.51654467252922,10.0,22.07792207792208,0,3,12,77,16.071428571428573,100.84704844702614,200.44764119088524,9.211486166876128
C30,非金属矿物制品业,1124,-2.06296267945296,-2.3381264991956208,1.5881677962657725,11.538902216788417,8.623611465279808,21.797153024911033,0,3,32,159,16.814946619217082,58.50945267817082,115.9693095145105,9.170306330275068
A04,渔业,115,-2.046989152260379,-2.3179909279409747,2.145668774319736,12.280361914876393,10.0,20.0,0,0,2,13,20.869565217391305,13.447852509986086,26.357437883540868,9.161135687395888
C18,纺织服装、服饰业,408,-2.2942735721818517,-2.429470625028304,1.3021043531007388,11.177196191540222,10.0,17.15686274509804,0,3,15,32,24.264705882352942,35.7583651787924,61.97972800465122,9.03529593165532
C21,家具制造业,187,-2.133871558294012,-2.286005210012977,1.2715922948671843,8.790505508751508,6.874667469602138,20.855614973262032,0,0,2,11,16.577540106951872,34.763545713487694,47.34905845535134,8.765291771793269
C15,酒、饮料和精制茶制造业,513,-2.0862899586017427,-2.4487872134829147,1.848335042564584,11.533252717389395,8.0,19.883040935672515,0,3,17,50,16.17933723196881,53.89564777963976,97.8779115293269,8.596084593781777
F52,零售业,1165,-1.9934894037985622,-2.3495814865598814,1.769184545545553,11.847935525164575,8.777094160047913,20.772532188841204,0,5,46,142,14.506437768240342,136.35053901222457,125.35606947122112,8.566100525508192
C33,金属制品业,731,-2.117940797879916,-2.278990694051364,1.1047173675410065,10.085725024259236,7.584420029622489,21.203830369357046,0,0,19,68,14.500683994528044,53.3122162135357,69.3677790922015,8.561466022546968
Q83,卫生,92,-2.215133192977746,-2.3132301377623037,1.162699726834857,12.628590338181983,10.0,17.391304347826086,0,0,4,11,21.73913043478261,35.894447368282606,63.10067887378587,8.509832345410672
C27,医药制造业,2486,-2.1263736210244026,-2.3220016297334634,1.3089665758148643,9.953667019478967,8.0,18.704746580852778,0,2,54,225,18.704746580852778,30.910215923220836,56.05806389118089,8.466155285810967
B06,煤炭开采和洗选业,341,-2.2879149815585382,-2.4702691574722326,1.178361968398723,9.679416783542653,8.0,17.008797653958943,0,1,7,21,20.821114369501466,317.36768864639356,626.3880199445431,8.337981533161201
G60,邮政业,29,-2.34258143913425,-2.4826140811111035,0.8905101590545288,7.179926285961826,8.0,13.793103448275861,0,0,0,1,27.586206896551722,540.8466726415622,420.2347648158759,8.29381188468042
C20,木材加工及木、竹、藤、棕、草制品业,102,-2.141130610043495,-2.3910946883101927,1.4788665730117616,10.75907042925909,9.368723135248429,19.607843137254903,0,0,0,13,15.686274509803921,23.213816780111767,36.63846862054706,8.262191793720206
G58,装卸搬运和运输代理业,141,-2.12817337429677,-2.375592460620877,1.2366832696570043,9.228147775120851,5.128750909853276,21.27659574468085,0,1,1,11,9.929078014184398,66.09566874646099,98.2581910049397,8.108176752416526
C29,橡胶和塑料制品业,899,-2.1595896592836157,-2.280038011170692,1.2043063520901973,9.144440383721351,5.483667454120567,18.46496106785317,0,1,19,74,16.129032258064516,29.279070637556845,41.27713769288398,8.015074671593341
C34,通用设备制造业,1617,-2.16401655573162,-2.278992522480509,1.1527671540227369,10.472783723190336,8.84568554560034,17.934446505875076,0,3,34,153,15.893630179344465,35.169549502799384,75.0024223947266,7.8462190650593655
C36,汽车制造业,1412,-2.2003422751484867,-2.32579518471013,1.1207322583431714,9.00017931964367,6.0,17.06798866855524,0,2,27,94,16.78470254957507,168.01146609274815,193.0445212060661,7.703095349148967
J66,货币金融服务,2,-4.191509367745375,-4.191509367745375,1.66827271135018,18.752254375523236,18.752254375523236,0.0,0,0,0,0,50.0,1.18675783515,17.4694964654,7.546880635938808
